uid,half_width,asymmetry,latency,rise,organoid,n_spikes,fr,ISI.median,age
TC014_94D,0.17412287180799382,-0.04002399872570558,1.0,0.28105297437837773,TSCp5_32s,2128,1.04843382,0.03563333,7.020479166666666
TC014_102D,0.15508398432741852,-0.03387023948868699,0.8333333333333334,0.11386000306097846,TSCp5_32s,3030,1.49283574,0.02573333,7.020479166666666
TC014_108D,0.317366901043408,-0.017141343114080387,1.6333333333333333,0.13926237646399547,TSCp5_32s,1079,0.53160718,0.02658333,7.020479166666666
TC000_0A,0.12230168246765748,-0.2845576854387426,0.16666666666666666,0.3007290734109219,TSCp5_32s,22,0.0057937,31.56536667,5.882765046296297
TC000_1B,0.07413066580847313,0.10800148015324373,0.06666666666666667,0.05081707042071575,TSCp5_32s,183,0.04819301,0.02378333,5.882765046296297
TC000_4D,0.19364933679449525,-0.37157321293392453,0.13333333333333333,0.16416220608176743,TSCp5_32s,61,0.01606434,34.71148333,5.882765046296297
TC023_30B,0.1756987644831026,0.3018760258137387,0.43333333333333335,0.07069197904061207,TSCp5_30s,42,0.03270805,14.11426667,9.055753472222221
TC023_31B,0.1269369788737772,0.2770552137611747,1.1666666666666667,0.050739332541623834,TSCp5_30s,1829,1.4243578,0.0212,9.055753472222221
TC023_32B,0.16308159771575484,0.3290420031173923,0.9333333333333333,0.07980330516840321,TSCp5_30s,1123,0.87455102,0.02613333,9.055753472222221
TC023_57D,0.35144209545329586,0.06407687754809441,1.9333333333333333,0.142416542625125,TSCp5_30s,621,0.48361192,0.04156667,9.055753472222221
TC023_47D,0.34850155425643575,0.04532480393143293,1.3333333333333333,0.18287321229489847,TSCp5_30s,168,0.13083221,0.04966667,9.055753472222221
TC023_54D,0.31901897582853256,-0.0032730311106485555,2.0,0.2159857881121944,TSCp5_30s,946,0.73670994,0.04916667,9.055753472222221
